num_nodes,signal_quality,topology,n_seeds,beta_gat_mean,beta_gat_std,beta_gat_se_mean,beta_gat_ci_lower_mean,beta_gat_ci_upper_mean,beta_gat_best,beta_gat_best_seed,beta_gap_at_best,exceeds_hst_bound_at_best,beta_hst_max_mean,beta_gap_mean,beta_gap_std,exceeds_hst_bound_rate,convergence_warning_rate,fit_success_rate,fit_r2_mean,unanimous_reach_consensus_rate_mean,unanimous_correct_consensus_rate_mean,unanimous_wrong_only_consensus_rate_mean,unanimous_mean_first_consensus_t_mean,majority_reach_consensus_rate_mean,majority_correct_consensus_rate_mean,majority_wrong_only_consensus_rate_mean,majority_mean_first_consensus_t_mean
100,0.65,ws_p_0.0,5,0.230152,0.00822611,0.0175282,0.195797,0.264506,0.241242,0,-0.996836,false,1.23808,-1.00793,0.00822611,0,1,1,0.941176,0.218,0.218,0,25.6706,1,1,0,1.0006
100,0.65,ws_p_0.1,5,0.261998,0.0127597,0.0194001,0.223974,0.300021,0.275532,0,-0.962546,false,1.23808,-0.976081,0.0127597,0,1,1,0.943829,0.192,0.192,0,23.7939,1,1,0,1.0006
100,0.8,complete,5,0.1,0,0.0458052,0.0102234,0.189777,0.1,0,-2.67259,false,2.77259,-2.67259,0,0,0,1,,1,1,0,2,1,1,0,1
100,0.8,ws_p_0.0,5,0.969416,0.0197781,0.0222093,0.925887,1.01295,0.994947,0,-1.77764,false,2.77259,-1.80317,0.0197781,0,0,1,0.995542,0.9952,0.9952,0,6.43318,1,1,0,1
100,0.8,ws_p_0.1,5,0.974442,0.0251452,0.0212299,0.932832,1.01605,1.01186,1,-1.76072,false,2.77259,-1.79815,0.0251452,0,0,1,0.995985,0.9816,0.9816,0,6.73154,1,1,0,1
1000,0.55,complete,5,1.54348,2.02375,0.0825195,1.38175,1.70522,3.87248,0,3.47114,true,0.401341,1.14214,2.02375,0.4,0,1,0.999432,1,0.9996,0.0004,2.0006,1,0.9996,0.0004,1.0004
1000,0.55,ws_p_0.0,5,0.0453745,0.000315106,0.00307473,0.0393481,0.0514009,0.0457258,1,-0.355616,false,0.401341,-0.355967,0.000315106,0,1,1,0.933359,0,0,0,,1,1,0,1.0004
1000,0.55,ws_p_0.1,5,0.0525439,0.00114672,0.00375832,0.0451777,0.0599101,0.0542118,1,-0.34713,false,0.401341,-0.348797,0.00114672,0,1,1,0.918009,0,0,0,,1,1,0,1.0004
1000,0.65,complete,5,0.1,0,0.0458052,0.0102234,0.189777,0.1,0,-1.13808,false,1.23808,-1.13808,0,0,0,1,,1,1,0,2,1,1,0,1
1000,0.65,ws_p_0.0,5,0.227812,0.00168161,0.0175181,0.193477,0.262146,0.228769,0,-1.00931,false,1.23808,-1.01027,0.00168161,0,1,1,0.940173,0,0,0,,1,1,0,1
1000,0.65,ws_p_0.1,5,0.26993,0.00518274,0.0196568,0.231404,0.308457,0.277714,1,-0.960364,false,1.23808,-0.968148,0.00518274,0,1,1,0.945516,0,0,0,,1,1,0,1
1000,0.8,complete,5,0.1,0,0.0458052,0.0102234,0.189777,0.1,0,-2.67259,false,2.77259,-2.67259,0,0,0,1,,1,1,0,2,1,1,0,1
1000,0.8,ws_p_0.0,5,0.97762,0.00597836,0.0225286,0.933464,1.02177,0.983302,0,-1.78929,false,2.77259,-1.79497,0.00597836,0,0,1,0.995543,0.9556,0.9556,0,15.8102,1,1,0,1
1000,0.8,ws_p_0.1,5,0.978614,0.00389706,0.021364,0.936741,1.02049,0.983064,4,-1.78952,false,2.77259,-1.79397,0.00389706,0,0,1,0.996,0.8446,0.8446,0,17.2467,1,1,0,1
