num_nodes,signal_quality,topology,n_seeds,beta_gat_mean,beta_gat_std,beta_gat_se_mean,beta_gat_ci_lower_mean,beta_gat_ci_upper_mean,beta_gat_best,beta_gat_best_seed,beta_gap_at_best,exceeds_hst_bound_at_best,beta_hst_max_mean,beta_gap_mean,beta_gap_std,exceeds_hst_bound_rate,convergence_warning_rate,fit_success_rate,fit_r2_mean,unanimous_reach_consensus_rate_mean,unanimous_correct_consensus_rate_mean,unanimous_wrong_only_consensus_rate_mean,unanimous_mean_first_consensus_t_mean,majority_reach_consensus_rate_mean,majority_correct_consensus_rate_mean,majority_wrong_only_consensus_rate_mean,majority_mean_first_consensus_t_mean
100,0.55,ws_p_0.0,5,0.0652279,0.0039271,0.000160052,0.0649142,0.0655416,0.070198,3,-0.331143,false,0.401341,-0.336113,0.0039271,0,0,1,0.999874,0.976,0.9758,0.0002,36.632,1,1,0,1.0388
100,0.55,ws_p_0.1,5,0.0644916,0.0018462,0.000152314,0.064193,0.0647901,0.0661184,4,-0.335223,false,0.401341,-0.33685,0.0018462,0,0,1,0.999883,0.9716,0.9716,0,47.3695,1,1,0,1.0494
100,0.65,complete,5,3.81662,2.29912,0.281901,3.2641,4.36913,6.22127,0,4.98319,true,1.23808,2.57854,2.29912,0.8,0,1,0.985861,0.9992,0.9986,0.0006,2.33446,1,1,0,1.0006
100,0.65,ws_p_0.0,5,0.395255,0.0121188,0.00320804,0.388967,0.401542,0.40789,2,-0.830188,false,1.23808,-0.842824,0.0121188,0,0,1,0.999616,1,1,0,9.7156,1,1,0,1.0006
100,0.65,ws_p_0.1,5,0.401967,0.0126171,0.00188642,0.39827,0.405664,0.423314,0,-0.814765,false,1.23808,-0.836111,0.0126171,0,0,1,0.999803,1,1,0,10.079,1,1,0,1.0006
100,0.8,complete,5,2.11694,1.12794,0.128132,1.86581,2.36808,2.65775,1,-0.114843,false,2.77259,-0.655647,1.12794,0,0,1,0.99459,1,1,0,2.003,1,1,0,1
100,0.8,ws_p_0.0,5,1.24515,0.0490767,0.00962399,1.22629,1.26402,1.31003,3,-1.46256,false,2.77259,-1.52744,0.0490767,0,0,1,0.999963,1,1,0,4.4052,1,1,0,1
100,0.8,ws_p_0.1,5,1.21928,0.0432397,0.00643317,1.20667,1.23189,1.28116,2,-1.49143,false,2.77259,-1.55331,0.0432397,0,0,1,0.999972,1,1,0,4.5296,1,1,0,1
1000,0.55,complete,5,0.769925,1.3665,0.0283407,0.714379,0.825472,3.21116,4,2.80982,true,0.401341,0.368584,1.3665,0.2,0,1,0.954143,0.9018,0.9018,0,13.5418,1,1,0,1.0004
1000,0.55,ws_p_0.0,5,0.0751693,0.00747182,0.000207475,0.0747627,0.0755759,0.0829616,3,-0.31838,false,0.401341,-0.326172,0.00747182,0,0,1,0.999813,0.9538,0.9538,0,64.7376,1,1,0,1.0004
1000,0.55,ws_p_0.1,5,0.0824724,0.00163242,0.000152094,0.0821743,0.0827705,0.0850311,4,-0.31631,false,0.401341,-0.318869,0.00163242,0,0,1,0.999897,0.8446,0.8446,0,66.9181,1,1,0,1.0004
1000,0.65,complete,5,1.12474,1.40318,0.0869732,0.954274,1.2952,2.66254,2,1.42446,true,1.23808,-0.11334,1.40318,0.4,0,1,0.995022,1,1,0,2.0008,1,1,0,1
1000,0.65,ws_p_0.0,5,0.438246,0.00889554,0.00509493,0.428261,0.448232,0.453673,0,-0.784405,false,1.23808,-0.799832,0.00889554,0,0,1,0.999312,1,1,0,13.0256,1,1,0,1
1000,0.65,ws_p_0.1,5,0.421993,0.0156667,0.00305673,0.416002,0.427984,0.436882,0,-0.801197,false,1.23808,-0.816085,0.0156667,0,0,1,0.9996,1,1,0,14.7078,1,1,0,1
1000,0.8,complete,5,0.1,0,0.0458052,0.0102234,0.189777,0.1,0,-2.67259,false,2.77259,-2.67259,0,0,0,1,,1,1,0,2,1,1,0,1
1000,0.8,ws_p_0.0,5,1.33015,0.0374209,0.00880045,1.3129,1.3474,1.38713,4,-1.38546,false,2.77259,-1.44244,0.0374209,0,0,1,0.999967,1,1,0,5.9986,1,1,0,1
1000,0.8,ws_p_0.1,5,1.23285,0.0354664,0.00336709,1.22625,1.23945,1.26722,4,-1.50537,false,2.77259,-1.53974,0.0354664,0,0,1,0.999991,1,1,0,6.3488,1,1,0,1
