seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
2,10,0.8,ws_p_0.0,0.771875,0.0141236,0.744194,0.799557,2.77259,-2.00071,false,false,scipy_anchored_t2,true,0.000597642,0.999581,0.0329686,1,1,0,2.973,1,1,0,1.029,n_10/ws_p_0.0_seed_2,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_2/metrics.json
2,10,0.8,ws_p_0.1,0.743915,0.0133439,0.717761,0.770069,2.77259,-2.02867,false,false,scipy_anchored_t2,true,0.000643947,0.999452,0.0503736,1,1,0,3.086,1,1,0,1.03,n_10/ws_p_0.1_seed_2,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_2/metrics.json
3,10,0.8,complete,2.01125,0.0199434,1.97216,2.05034,2.77259,-0.761339,false,false,scipy_anchored_t2,true,9.85791e-05,0.999661,0.00752258,1,0.993,0.007,2.168,1,0.993,0.007,1.048,n_10/complete,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_3/metrics.json
3,10,0.8,ws_p_0.0,0.670831,0.0106448,0.649968,0.691694,2.77259,-2.10176,false,false,scipy_anchored_t2,true,0.000763054,0.999278,0.00924169,1,1,0,3.35,1,1,0,1.036,n_10/ws_p_0.0_seed_3,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_3/metrics.json
3,10,0.8,ws_p_0.1,0.706815,0.0134327,0.680487,0.733142,2.77259,-2.06577,false,false,scipy_anchored_t2,true,0.000850909,0.999217,0.0126096,1,1,0,3.292,1,1,0,1.036,n_10/ws_p_0.1_seed_3,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_3/metrics.json
4,10,0.8,complete,1.90401,0.0108851,1.88267,1.92534,2.77259,-0.868584,false,false,scipy_anchored_t2,true,8.58781e-05,0.999874,0.0245977,1,0.997,0.003,2.372,1,0.998,0.002,1.034,n_10/complete,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_4/metrics.json
4,10,0.8,ws_p_0.0,0.730539,0.0113476,0.708298,0.75278,2.77259,-2.04205,false,false,scipy_anchored_t2,true,0.000762799,0.999112,0.0304475,1,1,0,3.264,1,1,0,1.035,n_10/ws_p_0.0_seed_4,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_4/metrics.json
4,10,0.8,ws_p_0.1,0.702872,0.0127197,0.677942,0.727802,2.77259,-2.06972,false,false,scipy_anchored_t2,true,0.000899483,0.998782,0.0312368,1,1,0,3.331,1,1,0,1.037,n_10/ws_p_0.1_seed_4,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_4/metrics.json
0,100,0.55,complete,0.275206,0.0081863,0.259161,0.291251,0.401341,-0.126136,false,false,scipy_anchored_t2,true,0.0077307,0.990474,0.225545,1,0.979,0.021,12.219,1,0.983,0.017,1.05,n_100/complete,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_0/metrics.json
0,100,0.55,ws_p_0.0,0.0396088,0.000165991,0.0392835,0.0399341,0.401341,-0.361733,false,false,scipy_anchored_t2,true,0.00166882,0.999761,0.184582,0.81,0.81,0,65.3593,1,1,0,1.052,n_100/ws_p_0.0_seed_0,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_0/metrics.json
0,100,0.55,ws_p_0.1,0.0351161,0.000340141,0.0344494,0.0357827,0.401341,-0.366225,false,false,scipy_anchored_t2,true,0.00334984,0.998883,0.250107,0.526,0.526,0,72.1217,1,1,0,1.051,n_100/ws_p_0.1_seed_0,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_0/metrics.json
